"ID","Name","Rating","Price","Latitude","Longitude"
394,"Sandpiper Restaurant",3.5,1,41.2461,-72.8694
395,"Roma Pizza",5,NA,41.2772,-72.8631
396,"Midnight Ramen",4,NA,41.3084,-72.9326
397,"Lunch Box 23",5,1,41.2828,-72.9792
398,"East Haven Village Family Restaurant",4,1,41.2856,-72.8873
399,"Prime 16 - Orange",3.5,1,41.2569,-73.0132
400,"Sing Hee Restaurant",4,1,41.3405,-72.8629
401,"Bangkok Boulevard",4,1,41.4044,-72.8991
402,"Id Brazil Restaurant",3.5,1,41.2767,-72.95
403,"Nick's Char-Pit",3.5,1,41.3362,-72.8685
404,"Pizza Haven",2.5,1,41.308,-72.9366
405,"Tripletas & More",4,1,41.2925,-72.9194
406,"Sushi Palace",4,1,41.3529,-72.9301
407,"Cafe Blake",3,1,41.3406,-72.9827
408,"El Patron",3,1,41.3089,-72.8951
409,"El Rincon Peruano",3.5,1,41.2713,-72.9493
410,"Golden Dragon",4.5,NA,41.2871,-72.9737
411,"Moonrise Cafe",4.5,1,41.389,-72.8611
412,"Cappetta Italian Import & Catering",4,1,41.2958,-72.9573
413,"Jimmies Of Savin Rock",2.5,1,41.2559,-72.9534
414,"Ziggy's Pizza Restaurant",2,1,41.3085,-72.8862
415,"Taqueria Mexicana",4,1,41.2881,-72.972
416,"John & Maria's Pizzeria",4,1,41.3246,-72.8346
417,"Gabriele Ristorante Italiano & Bar",3.5,1,41.2639,-73.0039
418,"West Haven Duchess Dineraunt",3.5,1,41.2776,-72.9542
419,"Ponce's",3,NA,41.3156,-72.9101
420,"Bread & Chocolate",4,1,41.3863,-72.9004
421,"Eli's On the Hill",3.5,1,41.2796,-72.8422
422,"New West Cafe",3,1,41.3268,-72.9595
423,"Aniello's Pizza & Italian Restaurant",4,1,41.2779,-72.8675
424,"Popeyes Louisiana Kitchen",2,1,41.3209,-72.8735
425,"Cumin India",4,1,41.3717,-72.9069
426,"Crown Fried Chicken",2.5,1,41.3189,-72.9493
427,"Baja's Authentic Mexican Restaurant",3.5,1,41.2784,-72.9877
428,"Le Petit Cafe",4.5,1,41.2824,-72.8096
429,"East Pavilion Cafeteria",2,NA,41.304,-72.935
430,"Supreme Seafood Restaurant",4.5,1,41.3303,-72.789
431,"Taco Bell",2,1,41.3206,-72.8739
432,"Panda Hut Chinese Take-Out",3,NA,41.3105,-72.95
433,"Nellie Green's Restaurant",3.5,1,41.2734,-72.8141
434,"Papa John's Pizza",2.5,1,41.3147,-72.9364
435,"Lo Monaco's",4,1,41.2755,-72.8325
436,"Jerri's Luncheonette",4.5,1,41.2733,-72.9507
437,"The Family Resturant",5,NA,41.2619,-72.9467
438,"Beachhead Restaurant",3,1,41.2468,-72.8628
439,"Subway",2.5,1,41.3157,-72.9388
440,"Mai Thai Restaurant",4,1,41.2558,-73.016
441,"Plan B Burger Bar",3.5,1,41.2475,-73.0274
442,"Subway",2,1,41.3054,-72.934
443,"KFC",3.5,1,41.317,-72.943
444,"No. 1 Chinese Restaurant",2.5,NA,41.3209,-72.8657
445,"Tropical Breeze Jamaican Kitchen",3.5,1,41.27,-72.9488
446,"Seabreeze Pizza Plus",4.5,1,41.2214,-73.0054
447,"Asian Flavour Indian Restaurant",4.5,1,41.3628,-72.922
448,"Domino's Pizza",1.5,1,41.3178,-72.9447
449,"Goodies",3.5,1,41.2759,-72.991
450,"King Falafel",2.5,1,41.3066,-72.9293
451,"Mickey's Restaurant & Bar",3.5,1,41.3817,-72.9023
452,"Corso's Deli & Subs",4.5,1,41.2881,-72.972
453,"The Corner Deli",4,1,41.3828,-72.9076
454,"Sing-Wah Chinese Restaurant",2,1,41.3204,-72.9513
455,"Sono Bana Japanese Restaurant",4,1,41.3463,-72.9344
456,"Wasabi Orange",4,1,41.2618,-73.0068
457,"Lorenzo's Ristorante Italiano",3.5,1,41.2796,-72.9408
458,"Turk's Restaurant",3.5,1,41.2567,-72.9557
459,"Crave",4,1,41.3449,-73.0795
460,"Hamden Town House",3.5,1,41.38,-72.9034
461,"Soga Sushi",4.5,1,41.3981,-72.8521
462,"Arely's Restaurant & Take Out",3,NA,41.3191,-72.8995
463,"Deli On The Block",5,NA,41.3542,-72.9294
464,"USA Pizza",3,1,41.3089,-72.8952
465,"Anthony John's Pizzeria",4.5,1,41.3247,-72.8214
466,"Chips Family Restaurant",3.5,1,41.2646,-73.0048
467,"Indochine Pavilion",2.5,1,41.3088,-72.9338
468,"Nataz Restaurant",4.5,1,41.3246,-72.7712
469,"La Jaltera",2.5,NA,41.318,-72.9389
470,"Donovan's Reef",3.5,1,41.2846,-72.8112
471,"Richard's Corner Gourmet Deli",4,1,41.3592,-72.9092
